date,product_id,product_name,sales_quantity,inventory_level,region
2024-04-10,P002,Product B,91,547,South
2024-04-10,P003,Product C,69,402,West
2024-04-11,P001,Product A,76,409,North
2024-04-11,P002,Product B,109,464,South
2024-04-11,P003,Product C,118,539,West
2024-04-12,P001,Product A,121,352,North
2024-04-12,P002,Product B,71,472,South
2024-04-12,P003,Product C,104,400,West
2024-04-13,P001,Product A,78,322,North
2024-04-13,P002,Product B,83,385,South
2024-04-13,P003,Product C,148,229,West
2024-04-14,P001,Product A,130,537,North
2024-04-14,P002,Product B,55,458,South
2024-04-14,P003,Product C,63,596,West
2024-04-15,P001,Product A,140,458,North
2024-04-15,P002,Product B,149,240,South
2024-04-15,P003,Product C,111,227,West
2024-04-16,P001,Product A,61,261,North
2024-04-16,P002,Product B,94,342,South
2024-04-16,P003,Product C,95,253,West
2024-04-17,P001,Product A,118,497,North
2024-04-17,P002,Product B,120,336,South
2024-04-17,P003,Product C,83,476,West
2024-04-18,P001,Product A,100,227,North
2024-04-18,P002,Product B,113,427,South
2024-04-18,P003,Product C,62,299,West
2024-04-19,P001,Product A,91,428,North
2024-04-19,P002,Product B,123,275,South
2024-04-19,P003,Product C,99,310,West
2024-04-20,P001,Product A,89,201,North
2024-04-20,P002,Product B,103,207,South
2024-04-20,P003,Product C,115,534,West
2024-04-21,P001,Product A,115,249,North
2024-04-21,P002,Product B,85,316,South
2024-04-21,P003,Product C,75,401,West
2024-04-22,P001,Product A,146,322,North
2024-04-22,P002,Product B,134,363,South
2024-04-22,P003,Product C,79,243,West
2024-04-23,P001,Product A,73,319,North
2024-04-23,P002,Product B,127,479,South
2024-04-23,P003,Product C,136,209,West
2024-04-24,P001,Product A,99,261,North
2024-04-24,P002,Product B,120,566,South
2024-04-24,P003,Product C,54,479,West
2024-04-25,P001,Product A,143,445,North
2024-04-25,P002,Product B,136,220,South
2024-04-25,P003,Product C,83,540,West
2024-04-26,P001,Product A,128,344,North
2024-04-26,P002,Product B,134,401,South
2024-04-26,P003,Product C,59,403,West
2024-04-27,P001,Product A,109,521,North
2024-04-27,P002,Product B,74,389,South
2024-04-27,P003,Product C,131,429,West
2024-04-28,P001,Product A,66,464,North
2024-04-28,P002,Product B,70,279,South
2024-04-28,P003,Product C,134,437,West
2024-04-29,P001,Product A,74,244,North
2024-04-29,P002,Product B,74,295,South
2024-04-29,P003,Product C,138,220,West
2024-04-30,P001,Product A,148,426,North
2024-04-30,P002,Product B,57,359,South
2024-04-30,P003,Product C,56,337,West
2024-05-01,P001,Product A,62,285,North
2024-05-01,P002,Product B,142,365,South
2024-05-01,P003,Product C,125,437,West
2024-05-02,P001,Product A,86,405,North
2024-05-02,P002,Product B,79,295,South
2024-05-02,P003,Product C,143,534,West
2024-05-03,P001,Product A,111,250,North
2024-05-03,P002,Product B,83,373,South
2024-05-03,P003,Product C,64,273,West
2024-05-04,P001,Product A,139,255,North
2024-05-04,P002,Product B,52,376,South
2024-05-04,P003,Product C,120,379,West
2024-05-05,P001,Product A,137,390,North
2024-05-05,P002,Product B,121,324,South
2024-05-05,P003,Product C,112,356,West
2024-05-06,P001,Product A,107,521,North
2024-05-06,P002,Product B,51,363,South
2024-05-06,P003,Product C,121,318,West
2024-05-07,P001,Product A,128,349,North
2024-05-07,P002,Product B,135,569,South
2024-05-07,P003,Product C,127,371,West
2024-05-08,P001,Product A,118,272,North
2024-05-08,P002,Product B,91,318,South
2024-05-08,P003,Product C,66,558,West
2024-05-09,P001,Product A,69,241,North
2024-05-09,P002,Product B,113,564,South
2024-05-09,P003,Product C,136,312,West
2024-05-10,P001,Product A,148,575,North
2024-05-10,P002,Product B,84,291,South
2024-05-10,P003,Product C,82,345,West
2024-05-11,P001,Product A,92,459,North
2024-05-11,P002,Product B,70,451,South
2024-05-11,P003,Product C,89,237,West
2024-05-12,P001,Product A,91,556,North
2024-05-12,P002,Product B,129,564,South
2024-05-12,P003,Product C,95,221,West
2024-05-13,P001,Product A,67,344,North
2024-05-13,P002,Product B,114,539,South
2024-05-13,P003,Product C,62,368,West
2024-05-14,P001,Product A,150,516,North
2024-05-14,P002,Product B,134,357,South
2024-05-14,P003,Product C,138,248,West
2024-05-15,P001,Product A,99,223,North
2024-05-15,P002,Product B,95,216,South
2024-05-15,P003,Product C,100,376,West
2024-05-16,P001,Product A,138,296,North
2024-05-16,P002,Product B,104,476,South
2024-05-16,P003,Product C,87,577,West
2024-05-17,P001,Product A,118,485,North
2024-05-17,P002,Product B,125,426,South
2024-05-17,P003,Product C,62,559,West
2024-05-18,P001,Product A,116,564,North
2024-05-18,P002,Product B,63,409,South
2024-05-18,P003,Product C,145,511,West
2024-05-19,P001,Product A,69,278,North
2024-05-19,P002,Product B,75,274,South
2024-05-19,P003,Product C,58,306,West
2024-05-20,P001,Product A,120,561,North
2024-05-20,P002,Product B,122,342,South
2024-05-20,P003,Product C,130,527,West
2024-05-21,P001,Product A,130,256,North
2024-05-21,P002,Product B,138,377,South
2024-05-21,P003,Product C,107,428,West
2024-05-22,P001,Product A,130,434,North
2024-05-22,P002,Product B,113,500,South
2024-05-22,P003,Product C,146,585,West
2024-05-23,P001,Product A,112,227,North
2024-05-23,P002,Product B,112,440,South
2024-05-23,P003,Product C,61,227,West
2024-05-24,P001,Product A,134,280,North
2024-05-24,P002,Product B,81,516,South
2024-05-24,P003,Product C,120,318,West
2024-05-25,P001,Product A,73,314,North
2024-05-25,P002,Product B,128,453,South
2024-05-25,P003,Product C,124,446,West
2024-05-26,P001,Product A,72,230,North
2024-05-26,P002,Product B,69,366,South
2024-05-26,P003,Product C,86,451,West
2024-05-27,P001,Product A,113,281,North
2024-05-27,P002,Product B,92,477,South
2024-05-27,P003,Product C,92,393,West
2024-05-28,P001,Product A,77,288,North
2024-05-28,P002,Product B,90,264,South
2024-05-28,P003,Product C,118,432,West
2024-05-29,P001,Product A,58,274,North
2024-05-29,P002,Product B,126,222,South
2024-05-29,P003,Product C,91,528,West
2024-05-30,P001,Product A,69,554,North
2024-05-30,P002,Product B,120,414,South
2024-05-30,P003,Product C,74,422,West
2024-05-31,P001,Product A,96,544,North
2024-05-31,P002,Product B,68,402,South
2024-05-31,P003,Product C,82,368,West
2024-06-01,P001,Product A,145,281,North
2024-06-01,P002,Product B,111,209,South
2024-06-01,P003,Product C,52,559,West
2024-06-02,P001,Product A,96,225,North
2024-06-02,P002,Product B,88,404,South
2024-06-02,P003,Product C,130,424,West
2024-06-03,P001,Product A,120,491,North
2024-06-03,P002,Product B,80,391,South
2024-06-03,P003,Product C,139,545,West
2024-06-04,P001,Product A,125,356,North
2024-06-04,P002,Product B,150,204,South
2024-06-04,P003,Product C,121,210,West
2024-06-05,P001,Product A,123,523,North
2024-06-05,P002,Product B,54,477,South
2024-06-05,P003,Product C,77,335,West
2024-06-06,P001,Product A,88,350,North
2024-06-06,P002,Product B,78,373,South
2024-06-06,P003,Product C,83,222,West
2024-06-07,P001,Product A,66,477,North
2024-06-07,P002,Product B,62,292,South
2024-06-07,P003,Product C,82,232,West
2024-06-08,P001,Product A,52,505,North
2024-06-08,P002,Product B,100,230,South
2024-06-08,P003,Product C,66,261,West
2024-06-09,P001,Product A,53,307,North
2024-06-09,P002,Product B,126,230,South
2024-06-09,P003,Product C,115,346,West
2024-06-10,P001,Product A,114,441,North
2024-06-10,P002,Product B,51,273,South
2024-06-10,P003,Product C,105,369,West
2024-06-11,P001,Product A,67,596,North
2024-06-11,P002,Product B,81,232,South
2024-06-11,P003,Product C,87,375,West
2024-06-12,P001,Product A,82,224,North
2024-06-12,P002,Product B,91,222,South
2024-06-12,P003,Product C,145,339,West
2024-06-13,P001,Product A,108,571,North
2024-06-13,P002,Product B,71,297,South
2024-06-13,P003,Product C,65,437,West
2024-06-14,P001,Product A,75,409,North
2024-06-14,P002,Product B,124,470,South
2024-06-14,P003,Product C,51,432,West
2024-06-15,P001,Product A,88,592,North
2024-06-15,P002,Product B,140,517,South
2024-06-15,P003,Product C,115,591,West
2024-06-16,P001,Product A,124,459,North
2024-06-16,P002,Product B,123,411,South
2024-06-16,P003,Product C,82,354,West
2024-06-17,P001,Product A,123,356,North
2024-06-17,P002,Product B,98,391,South
2024-06-17,P003,Product C,94,478,West
2024-06-18,P001,Product A,148,215,North
2024-06-18,P002,Product B,144,364,South
2024-06-18,P003,Product C,76,452,West
2024-06-19,P001,Product A,83,420,North
2024-06-19,P002,Product B,69,411,South
2024-06-19,P003,Product C,85,562,West
2024-06-20,P001,Product A,52,230,North
2024-06-20,P002,Product B,139,264,South
2024-06-20,P003,Product C,136,561,West
2024-06-21,P001,Product A,101,204,North
2024-06-21,P002,Product B,96,227,South
2024-06-21,P003,Product C,80,205,West
2024-06-22,P001,Product A,52,446,North
2024-06-22,P002,Product B,103,231,South
2024-06-22,P003,Product C,97,397,West
2024-06-23,P001,Product A,69,204,North
2024-06-23,P002,Product B,69,211,South
2024-06-23,P003,Product C,81,526,West
2024-06-24,P001,Product A,77,478,North
2024-06-24,P002,Product B,79,317,South
2024-06-24,P003,Product C,97,532,West
2024-06-25,P001,Product A,131,527,North
2024-06-25,P002,Product B,143,375,South
2024-06-25,P003,Product C,85,211,West
2024-06-26,P001,Product A,96,502,North
2024-06-26,P002,Product B,147,490,South
2024-06-26,P003,Product C,92,541,West
2024-06-27,P001,Product A,137,329,North
2024-06-27,P002,Product B,51,384,South
2024-06-27,P003,Product C,121,240,West
2024-06-28,P001,Product A,124,289,North
2024-06-28,P002,Product B,146,572,South
2024-06-28,P003,Product C,118,312,West
2024-06-29,P001,Product A,68,203,North
2024-06-29,P002,Product B,131,497,South
2024-06-29,P003,Product C,83,333,West
2024-06-30,P001,Product A,98,385,North
2024-06-30,P002,Product B,86,271,South
2024-06-30,P003,Product C,119,495,West
2024-07-01,P001,Product A,104,423,North
2024-07-01,P002,Product B,130,562,South
2024-07-01,P003,Product C,54,413,West
2024-07-02,P001,Product A,104,532,North
2024-07-02,P002,Product B,89,393,South
2024-07-02,P003,Product C,76,222,West
2024-07-03,P001,Product A,113,543,North
2024-07-03,P002,Product B,56,321,South
2024-07-03,P003,Product C,145,261,West
2024-07-04,P001,Product A,127,297,North
2024-07-04,P002,Product B,135,279,South
2024-07-04,P003,Product C,99,298,West
2024-07-05,P001,Product A,138,504,North
2024-07-05,P002,Product B,66,381,South
2024-07-05,P003,Product C,92,283,West
2024-07-06,P001,Product A,61,286,North
2024-07-06,P002,Product B,115,213,South
2024-07-06,P003,Product C,63,513,West
2024-07-07,P001,Product A,81,281,North
2024-07-07,P002,Product B,76,351,South
2024-07-07,P003,Product C,58,208,West
2024-07-08,P001,Product A,147,530,North
2024-07-08,P002,Product B,145,524,South
2024-07-08,P003,Product C,95,502,West
2024-07-09,P001,Product A,74,512,North
2024-07-09,P002,Product B,97,580,South
2024-07-09,P003,Product C,65,487,West
2024-07-10,P001,Product A,118,389,North
2024-07-10,P002,Product B,54,372,South
2024-07-10,P003,Product C,133,309,West
2024-07-11,P001,Product A,131,409,North
2024-07-11,P002,Product B,139,501,South
2024-07-11,P003,Product C,76,213,West
2024-07-12,P001,Product A,88,258,North
2024-07-12,P002,Product B,53,479,South
2024-07-12,P003,Product C,53,244,West
2024-07-13,P001,Product A,134,243,North
2024-07-13,P002,Product B,98,448,South
2024-07-13,P003,Product C,125,314,West
2024-07-14,P001,Product A,67,500,North
2024-07-14,P002,Product B,54,284,South
2024-07-14,P003,Product C,83,261,West
2024-07-15,P001,Product A,118,205,North
2024-07-15,P002,Product B,80,576,South
2024-07-15,P003,Product C,130,583,West
2024-07-16,P001,Product A,107,293,North
2024-07-16,P002,Product B,97,551,South
2024-07-16,P003,Product C,104,283,West
2024-07-17,P001,Product A,125,523,North
2024-07-17,P002,Product B,80,430,South
2024-07-17,P003,Product C,101,529,West
2024-07-18,P001,Product A,68,577,North
2024-07-18,P002,Product B,101,405,South
2024-07-18,P003,Product C,101,535,West
2024-07-19,P001,Product A,58,319,North
2024-07-19,P002,Product B,119,591,South
2024-07-19,P003,Product C,64,348,West
2024-07-20,P001,Product A,88,419,North
2024-07-20,P002,Product B,91,560,South
2024-07-20,P003,Product C,89,258,West
2024-07-21,P001,Product A,84,340,North
2024-07-21,P002,Product B,119,303,South
2024-07-21,P003,Product C,83,386,West
2024-07-22,P001,Product A,138,289,North
2024-07-22,P002,Product B,72,589,South
2024-07-22,P003,Product C,80,448,West
2024-07-23,P001,Product A,108,443,North
2024-07-23,P002,Product B,121,494,South
2024-07-23,P003,Product C,119,573,West
2024-07-24,P001,Product A,95,580,North
2024-07-24,P002,Product B,50,562,South
2024-07-24,P003,Product C,71,585,West
2024-07-25,P001,Product A,146,287,North
2024-07-25,P002,Product B,57,428,South
2024-07-25,P003,Product C,130,243,West
2024-07-26,P001,Product A,136,371,North
2024-07-26,P002,Product B,110,205,South
2024-07-26,P003,Product C,66,488,West
2024-07-27,P001,Product A,103,422,North
2024-07-27,P002,Product B,106,530,South
2024-07-27,P003,Product C,123,220,West
2024-07-28,P001,Product A,105,597,North
2024-07-28,P002,Product B,84,275,South
2024-07-28,P003,Product C,106,564,West
2024-07-29,P001,Product A,67,358,North
2024-07-29,P002,Product B,54,306,South
2024-07-29,P003,Product C,108,575,West
2024-07-30,P001,Product A,55,539,North
2024-07-30,P002,Product B,149,539,South
2024-07-30,P003,Product C,91,593,West
2024-07-31,P001,Product A,64,338,North
2024-07-31,P002,Product B,93,321,South
2024-07-31,P003,Product C,108,511,West
2024-08-01,P001,Product A,135,205,North
2024-08-01,P002,Product B,110,544,South
2024-08-01,P003,Product C,80,539,West
2024-08-02,P001,Product A,105,574,North
2024-08-02,P002,Product B,57,321,South
2024-08-02,P003,Product C,124,356,West
2024-08-03,P001,Product A,129,215,North
2024-08-03,P002,Product B,69,574,South
2024-08-03,P003,Product C,61,307,West
2024-08-04,P001,Product A,150,239,North
2024-08-04,P002,Product B,103,423,South
2024-08-04,P003,Product C,148,269,West
2024-08-05,P001,Product A,76,363,North
2024-08-05,P002,Product B,66,465,South
2024-08-05,P003,Product C,103,554,West
2024-08-06,P001,Product A,129,586,North
2024-08-06,P002,Product B,149,236,South
2024-08-06,P003,Product C,109,332,West
2024-08-07,P001,Product A,66,247,North
2024-08-07,P002,Product B,70,259,South
2024-08-07,P003,Product C,111,509,West
2024-08-08,P001,Product A,56,356,North
2024-08-08,P002,Product B,74,596,South
2024-08-08,P003,Product C,94,374,West
2024-08-09,P001,Product A,92,258,North
2024-08-09,P002,Product B,136,286,South
2024-08-09,P003,Product C,112,369,West
2024-08-10,P001,Product A,124,320,North
2024-08-10,P002,Product B,143,489,South
2024-08-10,P003,Product C,76,381,West
2024-08-11,P001,Product A,131,205,North
2024-08-11,P002,Product B,112,359,South
2024-08-11,P003,Product C,60,261,West
2024-08-12,P001,Product A,56,246,North
2024-08-12,P002,Product B,84,384,South
2024-08-12,P003,Product C,121,231,West
2024-08-13,P001,Product A,99,434,North
2024-08-13,P002,Product B,84,425,South
2024-08-13,P003,Product C,149,423,West
2024-08-14,P001,Product A,77,357,North
2024-08-14,P002,Product B,118,480,South
2024-08-14,P003,Product C,119,590,West
2024-08-15,P001,Product A,81,319,North
2024-08-15,P002,Product B,83,539,South
2024-08-15,P003,Product C,138,419,West
2024-08-16,P001,Product A,144,350,North
2024-08-16,P002,Product B,100,486,South
2024-08-16,P003,Product C,84,286,West
2024-08-17,P001,Product A,94,213,North
2024-08-17,P002,Product B,115,493,South
2024-08-17,P003,Product C,119,494,West
2024-08-18,P001,Product A,124,447,North
2024-08-18,P002,Product B,142,446,South
2024-08-18,P003,Product C,127,347,West
2024-08-19,P001,Product A,101,578,North
2024-08-19,P002,Product B,133,257,South
2024-08-19,P003,Product C,85,327,West
2024-08-20,P001,Product A,110,294,North
2024-08-20,P002,Product B,69,394,South
2024-08-20,P003,Product C,58,422,West
2024-08-21,P001,Product A,125,246,North
2024-08-21,P002,Product B,61,595,South
2024-08-21,P003,Product C,50,410,West
2024-08-22,P001,Product A,51,417,North
2024-08-22,P002,Product B,62,452,South
2024-08-22,P003,Product C,61,301,West
2024-08-23,P001,Product A,75,504,North
2024-08-23,P002,Product B,104,265,South
2024-08-23,P003,Product C,105,310,West
2024-08-24,P001,Product A,121,359,North
2024-08-24,P002,Product B,99,230,South
2024-08-24,P003,Product C,133,346,West
2024-08-25,P001,Product A,137,201,North
2024-08-25,P002,Product B,58,419,South
2024-08-25,P003,Product C,122,273,West
2024-08-26,P001,Product A,104,354,North
2024-08-26,P002,Product B,134,549,South
2024-08-26,P003,Product C,89,222,West
2024-08-27,P001,Product A,65,515,North
2024-08-27,P002,Product B,117,490,South
2024-08-27,P003,Product C,65,367,West
2024-08-28,P001,Product A,131,553,North
2024-08-28,P002,Product B,75,352,South
2024-08-28,P003,Product C,110,372,West
2024-08-29,P001,Product A,59,322,North
2024-08-29,P002,Product B,140,347,South
2024-08-29,P003,Product C,52,479,West
2024-08-30,P001,Product A,91,358,North
2024-08-30,P002,Product B,83,525,South
2024-08-30,P003,Product C,149,405,West
2024-08-31,P001,Product A,138,447,North
2024-08-31,P002,Product B,56,330,South
2024-08-31,P003,Product C,146,271,West
2024-09-01,P001,Product A,129,502,North
2024-09-01,P002,Product B,139,417,South
2024-09-01,P003,Product C,52,593,West
2024-09-02,P001,Product A,94,345,North
2024-09-02,P002,Product B,148,211,South
2024-09-02,P003,Product C,95,338,West
2024-09-03,P001,Product A,118,518,North
2024-09-03,P002,Product B,125,422,South
2024-09-03,P003,Product C,68,483,West
2024-09-04,P001,Product A,139,292,North
2024-09-04,P002,Product B,87,414,South
2024-09-04,P003,Product C,64,312,West
2024-09-05,P001,Product A,134,235,North
2024-09-05,P002,Product B,150,424,South
2024-09-05,P003,Product C,114,581,West
2024-09-06,P001,Product A,145,583,North
2024-09-06,P002,Product B,65,366,South
2024-09-06,P003,Product C,148,283,West
2024-09-07,P001,Product A,124,357,North
2024-09-07,P002,Product B,121,487,South
2024-09-07,P003,Product C,61,298,West
2024-09-08,P001,Product A,81,233,North
2024-09-08,P002,Product B,90,596,South
2024-09-08,P003,Product C,109,401,West
2024-09-09,P001,Product A,133,396,North
2024-09-09,P002,Product B,73,312,South
2024-09-09,P003,Product C,138,470,West
2024-09-10,P001,Product A,105,558,North
2024-09-10,P002,Product B,119,338,South
2024-09-10,P003,Product C,102,388,West
2024-09-11,P001,Product A,142,350,North
2024-09-11,P002,Product B,52,319,South
2024-09-11,P003,Product C,93,321,West
2024-09-12,P001,Product A,125,336,North
2024-09-12,P002,Product B,105,310,South
2024-09-12,P003,Product C,126,551,West
2024-09-13,P001,Product A,100,351,North
2024-09-13,P002,Product B,83,357,South
2024-09-13,P003,Product C,123,364,West
2024-09-14,P001,Product A,96,479,North
2024-09-14,P002,Product B,101,292,South
2024-09-14,P003,Product C,143,590,West
2024-09-15,P001,Product A,146,437,North
2024-09-15,P002,Product B,69,284,South
2024-09-15,P003,Product C,56,478,West
2024-09-16,P001,Product A,87,200,North
2024-09-16,P002,Product B,115,226,South
2024-09-16,P003,Product C,83,499,West
2024-09-17,P001,Product A,79,505,North
2024-09-17,P002,Product B,86,354,South
2024-09-17,P003,Product C,127,312,West
2024-09-18,P001,Product A,139,433,North
2024-09-18,P002,Product B,76,241,South
2024-09-18,P003,Product C,129,324,West
2024-09-19,P001,Product A,89,346,North
2024-09-19,P002,Product B,65,330,South
2024-09-19,P003,Product C,78,476,West
2024-09-20,P001,Product A,137,246,North
2024-09-20,P002,Product B,124,202,South
2024-09-20,P003,Product C,85,319,West
2024-09-21,P001,Product A,56,432,North
2024-09-21,P002,Product B,96,405,South
2024-09-21,P003,Product C,132,433,West
2024-09-22,P001,Product A,137,210,North
2024-09-22,P002,Product B,150,394,South
2024-09-22,P003,Product C,123,228,West
2024-09-23,P001,Product A,127,214,North
2024-09-23,P002,Product B,82,490,South
2024-09-23,P003,Product C,141,246,West
2024-09-24,P001,Product A,149,572,North
2024-09-24,P002,Product B,101,537,South
2024-09-24,P003,Product C,147,261,West
2024-09-25,P001,Product A,141,413,North
2024-09-25,P002,Product B,142,562,South
2024-09-25,P003,Product C,131,201,West
2024-09-26,P001,Product A,111,376,North
2024-09-26,P002,Product B,135,431,South
2024-09-26,P003,Product C,51,557,West
2024-09-27,P001,Product A,148,511,North
2024-09-27,P002,Product B,120,592,South
2024-09-27,P003,Product C,66,364,West
2024-09-28,P001,Product A,91,224,North
2024-09-28,P002,Product B,150,386,South
2024-09-28,P003,Product C,75,433,West
2024-09-29,P001,Product A,139,487,North
2024-09-29,P002,Product B,63,440,South
2024-09-29,P003,Product C,96,364,West
2024-09-30,P001,Product A,115,585,North
2024-09-30,P002,Product B,89,333,South
2024-09-30,P003,Product C,103,430,West
2024-10-01,P001,Product A,132,288,North
2024-10-01,P002,Product B,57,477,South
2024-10-01,P003,Product C,50,514,West
2024-10-02,P001,Product A,85,557,North
2024-10-02,P002,Product B,75,420,South
2024-10-02,P003,Product C,64,533,West
2024-10-03,P001,Product A,129,551,North
2024-10-03,P002,Product B,100,567,South
2024-10-03,P003,Product C,93,576,West
2024-10-04,P001,Product A,79,454,North
2024-10-04,P002,Product B,57,570,South
2024-10-04,P003,Product C,52,483,West
2024-10-05,P001,Product A,75,299,North
2024-10-05,P002,Product B,70,472,South
2024-10-05,P003,Product C,106,206,West
2024-10-06,P001,Product A,108,329,North
2024-10-06,P002,Product B,115,297,South
2024-10-06,P003,Product C,99,363,West
2024-10-07,P001,Product A,123,334,North
2024-10-07,P002,Product B,78,453,South
2024-10-07,P003,Product C,79,471,West
2024-10-08,P001,Product A,50,256,North
2024-10-08,P002,Product B,105,559,South
2024-10-08,P003,Product C,75,291,West
2024-10-09,P001,Product A,85,262,North
2024-10-09,P002,Product B,101,597,South
2024-10-09,P003,Product C,69,427,West
2024-10-10,P001,Product A,54,355,North
2024-10-10,P002,Product B,145,487,South
2024-10-10,P003,Product C,148,398,West
2024-10-11,P001,Product A,141,524,North
2024-10-11,P002,Product B,140,507,South
2024-10-11,P003,Product C,91,350,West
2024-10-12,P001,Product A,121,464,North
2024-10-12,P002,Product B,141,283,South
2024-10-12,P003,Product C,134,257,West
2024-10-13,P001,Product A,73,431,North
2024-10-13,P002,Product B,84,589,South
2024-10-13,P003,Product C,56,507,West
2024-10-14,P001,Product A,113,437,North
2024-10-14,P002,Product B,114,501,South
2024-10-14,P003,Product C,124,418,West
2024-10-15,P001,Product A,90,502,North
2024-10-15,P002,Product B,70,341,South
2024-10-15,P003,Product C,142,418,West
2024-10-16,P001,Product A,128,447,North
2024-10-16,P002,Product B,80,493,South
2024-10-16,P003,Product C,92,234,West
2024-10-17,P001,Product A,82,289,North
2024-10-17,P002,Product B,80,536,South
2024-10-17,P003,Product C,149,579,West
2024-10-18,P001,Product A,130,350,North
2024-10-18,P002,Product B,127,440,South
2024-10-18,P003,Product C,78,579,West
2024-10-19,P001,Product A,52,444,North
2024-10-19,P002,Product B,62,457,South
2024-10-19,P003,Product C,120,222,West
2024-10-20,P001,Product A,124,247,North
2024-10-20,P002,Product B,138,433,South
2024-10-20,P003,Product C,136,492,West
2024-10-21,P001,Product A,131,442,North
2024-10-21,P002,Product B,94,599,South
2024-10-21,P003,Product C,85,501,West
2024-10-22,P001,Product A,52,292,North
2024-10-22,P002,Product B,59,482,South
2024-10-22,P003,Product C,65,425,West
2024-10-23,P001,Product A,107,341,North
2024-10-23,P002,Product B,111,436,South
2024-10-23,P003,Product C,115,488,West
2024-10-24,P001,Product A,101,234,North
2024-10-24,P002,Product B,99,400,South
2024-10-24,P003,Product C,146,333,West
2024-10-25,P001,Product A,73,207,North
2024-10-25,P002,Product B,136,425,South
2024-10-25,P003,Product C,145,592,West
2024-10-26,P001,Product A,96,391,North
2024-10-26,P002,Product B,106,231,South
2024-10-26,P003,Product C,86,263,West
2024-10-27,P001,Product A,105,551,North
2024-10-27,P002,Product B,138,232,South
2024-10-27,P003,Product C,92,475,West
2024-10-28,P001,Product A,143,551,North
2024-10-28,P002,Product B,97,324,South
2024-10-28,P003,Product C,65,503,West
2024-10-29,P001,Product A,147,277,North
2024-10-29,P002,Product B,148,305,South
2024-10-29,P003,Product C,53,401,West
2024-10-30,P001,Product A,104,416,North
2024-10-30,P002,Product B,77,446,South
2024-10-30,P003,Product C,64,545,West
2024-10-31,P001,Product A,88,516,North
2024-10-31,P002,Product B,134,335,South
2024-10-31,P003,Product C,116,371,West
2024-11-01,P001,Product A,134,306,North
2024-11-01,P002,Product B,131,340,South
2024-11-01,P003,Product C,109,525,West
2024-11-02,P001,Product A,117,381,North
2024-11-02,P002,Product B,76,520,South
2024-11-02,P003,Product C,61,425,West
2024-11-03,P001,Product A,63,385,North
2024-11-03,P002,Product B,65,312,South
2024-11-03,P003,Product C,139,423,West
2024-11-04,P001,Product A,149,408,North
2024-11-04,P002,Product B,119,348,South
2024-11-04,P003,Product C,80,507,West
2024-11-05,P001,Product A,124,530,North
2024-11-05,P002,Product B,118,327,South
2024-11-05,P003,Product C,53,591,West
2024-11-06,P001,Product A,111,372,North
2024-11-06,P002,Product B,99,337,South
2024-11-06,P003,Product C,150,264,West
2024-11-07,P001,Product A,139,450,North
2024-11-07,P002,Product B,83,465,South
2024-11-07,P003,Product C,121,272,West
2024-11-08,P001,Product A,53,437,North
2024-11-08,P002,Product B,77,532,South
2024-11-08,P003,Product C,56,370,West
2024-11-09,P001,Product A,72,263,North
2024-11-09,P002,Product B,58,408,South
2024-11-09,P003,Product C,79,289,West
2024-11-10,P001,Product A,148,475,North
2024-11-10,P002,Product B,66,597,South
2024-11-10,P003,Product C,60,297,West
2024-11-11,P001,Product A,148,600,North
2024-11-11,P002,Product B,89,439,South
2024-11-11,P003,Product C,65,394,West
2024-11-12,P001,Product A,119,431,North
